source,target,Marginal Likelihood Filter,Naive Threshold,weight,High Salience Skeleton,GLOSS Filter,Noise Corrected,Disparity Filter,Polya Filter,LANS Filter
Napoleon,Myriel,4.114825112313897,1,1,1.0,1.0,0.9667822102900139,0.7120102640698529,0.85634431277935,0.3
Myriel,MlleBaptistine,21.072070979608814,8,8,0.1168831168831169,0.416478,0.9284707739691737,0.2802768166089966,0.0340512288485213,0.0
Myriel,MmeMagloire,27.06187653085221,10,10,0.987012987012987,0.0767728,0.9378867909913529,0.22437673130193903,0.0088452869061139,0.0
Myriel,CountessDeLo,4.114825112313897,1,1,1.0,1.0,0.9667822102900139,0.7120102640698529,0.85634431277935,0.0
Myriel,Geborand,4.114825112313897,1,1,1.0,1.0,0.9667822102900139,0.7120102640698529,0.85634431277935,0.0
Myriel,Champtercier,4.114825112313897,1,1,1.0,1.0,0.9667822102900139,0.7120102640698529,0.85634431277935,0.0
Myriel,Cravatte,4.114825112313897,1,1,1.0,1.0,0.9667822102900139,0.7120102640698529,0.85634431277935,0.0
Myriel,Count,7.543170380787434,2,2,1.0,1.0,0.966441142884516,0.5002489671314593,0.653936391185468,0.0
Myriel,OldMan,4.114825112313897,1,1,1.0,1.0,0.9667822102900139,0.7120102640698529,0.85634431277935,0.0
Myriel,Valjean,0.110369875987504,1,1,0.0,0.999711,-0.9093463336209813,0.7738235497953665,0.85634431277935,0.7777777777777778
MlleBaptistine,MmeMagloire,16.51368213190818,6,6,0.025974025974025976,0.467987,0.9304242797970995,0.4681440443213297,0.483043048288584,0.3333333333333333
MlleBaptistine,Valjean,1.7645542300862493,3,3,0.8831168831168831,0.780144,0.18546786148948466,0.46073169786673585,0.601289563002388,0.3333333333333333
MmeMagloire,Valjean,1.545362404933139,3,3,0.987012987012987,0.429899,0.12180622337676866,0.46073169786673585,0.601289563002388,0.3333333333333333
Valjean,Labarre,9.509143862153023,5,5,1.0,1.0,0.8442718972434724,0.2721872273972572,0.335171315585587,0.0
Valjean,Marguerite,1.2584298595944956,1,1,0.0,1.0,0.2737404209834135,0.75,0.872415773578758,0.5
Valjean,MmeDeR,2.5238992985027897,1,1,1.0,1.0,0.8451199323056323,0.7738235497953665,0.905711197138765,0.0
Valjean,Isabeau,2.5238992985027897,1,1,1.0,1.0,0.8451199323056323,0.7738235497953665,0.905711197138765,0.0
Valjean,Gervais,2.5238992985027897,1,1,1.0,1.0,0.8451199323056323,0.7738235497953665,0.905711197138765,0.0
Valjean,Fantine,0.19983847945417002,3,3,0.0,0.353782,-0.47864048999915065,0.44230096437967326,0.576189533927456,0.4
Valjean,MmeThenardier,0.13457069613575137,2,2,0.0,0.998742,-0.6479357970050498,0.6210892485566202,0.759185899089802,0.4545454545454546
Valjean,Thenardier,8.226597342902346,13,13,0.8441558441558442,0.00013204,0.4776003850107211,0.008757942804541896,0.0030336458104015,0.0
Valjean,Cosette,0.5934347836343177,4,4,0.5064935064935064,0.0164515,-0.21107723768552583,0.41087146108016404,0.456401507757275,0.0909090909090909
Valjean,Javert,13.215475918708357,17,17,0.7142857142857143,6.03366e-05,0.5731396410236286,0.0012962923816303151,0.0001836159253431,0.0
Valjean,Fauchelevent,11.497101468154126,8,8,1.0,0.0252814,0.762900762180509,0.03703703703703698,0.0307877712765436,0.0
Valjean,Bamatabois,0.33597499551698845,1,1,0.0,0.378264,-0.5987935442936134,0.6169606086877,0.778809146349712,0.75
Valjean,Simplice,1.9322967120669607,2,2,0.7142857142857143,0.117273,0.3412699592750397,0.421875,0.566785898416903,0.25
Valjean,Scaufflaire,2.5238992985027897,1,1,1.0,1.0,0.8451199323056323,0.7738235497953665,0.905711197138765,0.0
Valjean,Woman1,3.6270131214834302,2,2,1.0,0.0289625,0.7443015322696298,0.33333333333333337,0.5,0.0
Valjean,Judge,2.3366068180261372,3,3,0.935064935064935,0.275181,0.33079441897929807,0.26932907434290443,0.365972176197915,0.0
Valjean,Champmathieu,2.3366068180261372,3,3,0.948051948051948,0.275181,0.33079441897929807,0.26932907434290443,0.365972176197915,0.0
Valjean,Brevet,1.5899175289271381,2,2,0.961038961038961,0.0636202,0.2180803857260428,0.32767999999999997,0.471655609538877,0.0
Valjean,Chenildieu,1.5899175289271381,2,2,0.961038961038961,0.0636202,0.2180803857260428,0.32767999999999997,0.471655609538877,0.0
Valjean,Cochepaille,1.4506223902742925,2,2,0.948051948051948,0.0840939,0.16260527146221582,0.3666478320532004,0.511704866949363,0.0
Valjean,Woman2,4.723374851448454,3,3,1.0,0.011854,0.7206788225223224,0.16000000000000003,0.254108142839097,0.0
Valjean,MotherInnocent,5.331566175855366,3,3,1.0,0.150275,0.7820418632782647,0.25,0.362477690288828,0.0
Valjean,Gavroche,0.007050571200707389,2,2,0.0,0.89245,-0.9144646053060634,0.6028730813128106,0.759185899089802,0.3636363636363636
Valjean,Gillenormand,2.5177850287996333,3,3,0.8961038961038961,0.235366,0.37147550140122043,0.177978515625,0.262516406897156,0.0
Valjean,MlleGillenormand,9.337068086825635,9,9,0.6753246753246753,0.160743,0.6384648174580608,0.03481542554547867,0.0241036211159841,0.0
Valjean,Marius,0.08178256707717578,6,6,0.7012987012987013,0.853423,-0.43610485037424473,0.38443642217811125,0.239709330511182,0.2631578947368421
Valjean,Enjolras,1.430635464001556,7,7,0.5844155844155844,0.107021,0.024254380990018753,0.17609404476855528,0.167733223432693,0.0666666666666666
Valjean,Bossuet,0.6025776962391624,5,5,0.6103896103896104,0.209984,-0.18862741807770841,0.34554210784816897,0.335171315585587,0.3076923076923077
Valjean,Gueulemer,4.971683037192935,5,5,1.0,0.510146,0.5561485606420847,0.0187512517177989,0.0312225696630735,0.0
Valjean,Babet,4.693747761650191,6,6,0.8311688311688312,0.150801,0.4712534527936787,0.048400258247050854,0.0527302059081695,0.0
Valjean,Claquesous,2.56561459980106,4,4,0.7792207792207793,0.980306,0.30374408885160364,0.11913487759092956,0.162529866133281,0.0
