0 1 4
0 2 5
0 3 3
0 4 3
0 5 3
0 6 3
0 7 2
0 8 2
0 9 2
0 10 3
0 11 1
0 12 3
0 13 2
0 14 2
0 15 2
0 16 2
1 2 6
1 3 3
1 7 4
1 12 5
1 13 1
1 14 2
1 15 2
1 17 2
2 3 3
2 7 4
2 8 5
2 18 1
2 12 3
2 19 2
2 20 2
2 21 2
3 7 3
3 11 3
3 12 3
4 6 2
4 9 3
5 6 5
5 9 3
5 22 3
6 22 3
8 17 3
8 21 3
8 23 4
12 23 3
14 23 1
16 23 4
16 21 4
16 32 7
16 33 2
16 20 2
17 23 3
17 21 3
18 23 2
19 23 4
19 29 4
19 33 3
20 23 2
21 23 5
21 24 3
21 25 3
21 26 1
21 27 3
21 28 2
21 29 5
21 31 4
23 24 2
23 25 4
23 26 2
23 27 1
23 28 3
23 29 4
23 30 2
23 31 2
29 32 5
29 31 3
30 31 4
32 33 2
