0 1 1
1 2 8
1 3 10
1 4 1
1 5 1
1 6 1
1 7 1
1 8 2
1 9 1
1 10 1
2 3 6
2 10 3
3 10 3
10 11 5
10 12 1
10 13 1
10 14 1
10 15 1
10 23 3
10 24 2
10 25 13
10 26 4
10 27 17
10 28 8
10 29 1
10 31 2
10 32 1
10 33 2
10 34 3
10 35 3
10 36 2
10 37 2
10 38 2
10 43 3
10 44 3
10 48 2
10 49 3
10 51 9
10 55 6
10 58 7
10 64 5
10 68 5
10 69 6
10 70 4
10 71 1
10 72 2
12 23 3
16 17 4
16 18 4
16 19 4
16 20 3
16 21 3
16 22 3
16 23 3
17 18 4
17 19 4
17 20 3
17 21 3
17 22 3
17 23 3
17 26 31
17 55 12
18 19 4
18 20 3
18 21 3
18 22 3
18 23 4
19 20 4
19 21 3
19 22 3
19 23 4
20 21 5
20 22 4
20 23 4
21 22 4
21 23 2
22 23 9
23 24 7
23 25 1
23 27 5
23 29 1
23 30 1
23 31 3
24 25 12
24 26 1
24 27 5
24 41 2
24 42 2
24 50 1
24 68 1
24 69 6
24 70 4
25 26 1
25 27 1
25 39 1
25 40 1
25 41 3
25 42 2
25 48 1
25 55 1
25 68 1
25 69 1
25 70 4
25 71 2
25 75 3
26 27 1
26 43 1
26 49 2
26 51 2
26 54 2
26 55 1
26 72 1
27 28 1
27 29 2
27 31 2
27 33 1
27 43 1
27 48 1
27 58 7
27 68 1
27 69 1
27 70 1
27 71 2
27 72 1
28 44 1
28 45 2
29 34 2
29 35 3
29 36 2
29 37 2
29 38 2
30 31 1
34 35 2
34 36 2
34 37 2
34 38 2
35 36 1
35 37 2
35 38 2
36 37 1
36 38 2
37 38 1
39 52 1
39 55 21
41 42 1
41 55 19
41 57 1
41 62 9
41 68 1
41 69 2
41 70 1
41 71 2
41 75 3
46 47 1
46 48 1
48 55 1
48 57 1
48 58 6
48 59 15
48 60 1
48 61 2
48 62 17
48 63 5
48 64 12
48 65 5
48 66 3
48 68 1
48 69 1
48 71 1
48 73 2
48 74 2
48 75 3
48 76 1
49 50 1
49 51 2
49 54 1
49 55 2
49 56 1
51 52 1
51 53 1
51 54 1
51 55 5
54 55 4
55 56 1
55 57 1
55 58 1
55 59 5
55 61 6
55 62 13
55 63 5
55 64 5
55 65 7
57 58 4
57 59 6
57 61 2
57 62 7
57 63 6
57 64 4
57 65 3
57 67 3
58 59 2
58 60 4
58 61 5
58 62 2
58 63 2
58 64 10
58 65 5
58 66 3
58 70 1
58 76 1
59 60 2
59 61 1
59 62 1
59 63 4
59 64 6
59 65 5
59 66 1
60 61 1
60 62 6
60 63 3
60 64 2
60 65 5
60 66 2
61 62 3
61 63 2
61 64 9
61 65 2
61 66 2
62 63 1
62 64 1
62 65 5
62 66 1
62 76 1
63 64 1
63 65 1
63 66 1
63 76 1
64 65 2
64 66 1
64 76 1
65 66 1
65 76 1
66 76 1
68 69 1
68 70 1
68 71 1
68 75 1
69 70 1
69 71 1
69 75 1
70 71 1
70 75 1
71 75 1
73 74 3
