source,target,is_metric,weight,metric_distance
Napoleon,Myriel,True,inf,inf
Myriel,MlleBaptistine,True,4.285714285714286,4.285714285714286
Myriel,MmeMagloire,True,4.571428571428571,4.571428571428571
Myriel,CountessDeLo,True,inf,inf
Myriel,Geborand,True,inf,inf
Myriel,Champtercier,True,inf,inf
Myriel,Cravatte,True,inf,inf
Myriel,Count,True,inf,inf
Myriel,OldMan,True,inf,inf
Myriel,Valjean,True,25.333333333333332,25.333333333333332
MlleBaptistine,MmeMagloire,True,1.272727272727273,1.272727272727273
MlleBaptistine,Valjean,False,36.5,29.619047619047617
MmeMagloire,Valjean,False,37.0,29.904761904761905
Valjean,Labarre,True,inf,inf
Valjean,Marguerite,True,45.0,45.0
Valjean,MmeDeR,True,inf,inf
Valjean,Isabeau,True,inf,inf
Valjean,Gervais,True,inf,inf
Valjean,Fantine,False,13.833333333333334,11.775641025641026
Valjean,MmeThenardier,True,3.625,3.625
Valjean,Thenardier,False,11.214285714285715,6.961538461538462
Valjean,Cosette,False,16.4,15.317307692307693
Valjean,Javert,True,5.1923076923076925,5.1923076923076925
Valjean,Fauchelevent,False,72.5,10.942307692307693
Valjean,Bamatabois,True,8.857142857142856,8.857142857142856
Valjean,Simplice,False,27.0,14.792307692307691
Valjean,Scaufflaire,True,inf,inf
Valjean,Woman1,False,138.0,29.692307692307693
Valjean,Judge,False,14.666666666666668,9.968253968253967
Valjean,Champmathieu,False,16.75,10.357142857142856
Valjean,Brevet,False,19.0,10.428571428571427
Valjean,Chenildieu,False,19.0,10.428571428571427
Valjean,Cochepaille,False,16.5,10.107142857142856
Valjean,Woman2,False,69.0,16.942307692307693
Valjean,MotherInnocent,False,139.0,14.275641025641026
Valjean,Gavroche,True,11.0,11.0
Valjean,Gillenormand,False,22.833333333333332,17.680555555555554
Valjean,MlleGillenormand,True,15.555555555555554,15.555555555555554
Valjean,Marius,True,13.812500000000002,13.812500000000002
Valjean,Enjolras,True,10.3125,10.3125
Valjean,Bossuet,True,12.0,12.0
Valjean,Gueulemer,False,19.57142857142857,8.322115384615385
Valjean,Babet,False,17.75,7.6298076923076925
Valjean,Claquesous,False,12.181818181818182,7.824999999999999
Valjean,Montparnasse,False,16.625,9.296474358974358
Valjean,Toussaint,False,68.5,21.192307692307693
Marguerite,Fantine,True,55.0,55.0
Listolier,Tholomyes,True,2.55,2.55
Listolier,Fameuil,True,0.44999999999999996,0.44999999999999996
Listolier,Blacheville,True,0.5,0.5
Listolier,Favourite,True,0.631578947368421,0.631578947368421
Listolier,Dahlia,True,0.7647058823529411,0.7647058823529411
Listolier,Zephine,True,0.9444444444444446,0.9444444444444446
Listolier,Fantine,True,2.0526315789473686,2.0526315789473686
Tholomyes,Fameuil,True,2.5999999999999996,2.5999999999999996
Tholomyes,Blacheville,True,2.6500000000000004,2.6500000000000004
Tholomyes,Favourite,True,2.8947368421052633,2.8947368421052633
Tholomyes,Dahlia,True,3.2941176470588234,3.2941176470588234
Tholomyes,Zephine,True,3.333333333333333,3.333333333333333
