source,target,weight,df_alpha,df_backbone,ds_score,ds_backbone,hss_score,hss_backbone,h_backbone,h_bridge
Napoleon,Myriel,1,0.7120102640698529,False,0.12339425115544946,False,1.0,True,False,0.987
MlleBaptistine,Myriel,8,0.2802768166089966,True,0.01880707737473164,False,0.1168831168831169,False,False,0.0
MmeMagloire,Myriel,10,0.22437673130193903,True,0.02100406205647495,False,0.987012987012987,True,False,0.0
MmeMagloire,MlleBaptistine,6,0.4681440443213297,False,0.9605885332639655,True,0.025974025974025976,False,False,0.006
CountessDeLo,Myriel,1,0.7120102640698529,False,0.12339425115552233,False,1.0,True,False,0.987
Geborand,Myriel,1,0.7120102640698529,False,0.12339425115552233,False,1.0,True,False,0.987
Champtercier,Myriel,1,0.7120102640698529,False,0.12339425115552233,False,1.0,True,False,0.987
Cravatte,Myriel,1,0.7120102640698529,False,0.12339425115552233,False,1.0,True,False,0.987
Count,Myriel,2,0.5002489671314593,False,0.21967254525986113,True,1.0,True,False,0.987
OldMan,Myriel,1,0.7120102640698529,False,0.12339425115544946,False,1.0,True,False,0.987
Valjean,Myriel,1,0.7738235497953665,False,1.7135912888722993e-05,False,0.0,False,True,7.169
Valjean,MlleBaptistine,3,0.46073169786673585,False,0.00391813602401028,False,0.8831168831168831,True,False,0.981
Valjean,MmeMagloire,3,0.46073169786673585,False,0.0035006812082122043,False,0.987012987012987,True,False,0.981
Valjean,Labarre,5,0.2721872273972572,True,0.28107612020154366,True,1.0,True,False,0.987
Marguerite,Valjean,1,0.75,False,0.022926927898196094,False,0.0,False,False,0.923
MmeDeR,Valjean,1,0.7738235497953665,False,0.0725281368486763,False,1.0,True,False,0.987
Isabeau,Valjean,1,0.7738235497953665,False,0.0725281368486763,False,1.0,True,False,0.987
Gervais,Valjean,1,0.7738235497953665,False,0.0725281368486763,False,1.0,True,False,0.987
Listolier,Tholomyes,4,0.6111192640613622,False,0.1486025401627955,True,0.7662337662337663,True,False,0.013
Fameuil,Tholomyes,4,0.35129803161599993,False,0.14734386526597193,False,0.7532467532467533,True,False,0.013
Fameuil,Listolier,4,0.35129803161599993,False,0.1978543864150312,True,0.025974025974025976,False,False,0.013
Blacheville,Tholomyes,4,0.36702529559383845,False,0.1395022956222789,False,0.7532467532467533,True,False,0.013
Blacheville,Listolier,4,0.36702529559383845,False,0.18732467112907084,True,0.025974025974025976,False,False,0.013
Blacheville,Fameuil,4,0.36702529559383845,False,0.1857380168171821,True,0.025974025974025976,False,False,0.013
Favourite,Tholomyes,3,0.4792111653112854,False,0.10313464212768736,False,0.36363636363636365,False,False,0.013
Favourite,Listolier,3,0.4792111653112854,False,0.13848992830120915,False,0.025974025974025976,False,False,0.013
Favourite,Fameuil,3,0.4792111653112854,False,0.13731690800139068,False,0.025974025974025976,False,False,0.013
Favourite,Blacheville,4,0.36702529559383845,False,0.1733438464384636,True,0.025974025974025976,False,False,0.013
Dahlia,Tholomyes,3,0.43232759591155623,False,0.11123017448878444,False,0.7532467532467533,True,False,0.013
Dahlia,Listolier,3,0.43232759591155623,False,0.1493606665237781,True,0.025974025974025976,False,False,0.013
Dahlia,Fameuil,3,0.43232759591155623,False,0.14809557023860648,True,0.025974025974025976,False,False,0.013
Dahlia,Blacheville,3,0.43232759591155623,False,0.1402139952178181,False,0.025974025974025976,False,False,0.013
Dahlia,Favourite,5,0.22975660989883329,True,0.23035235283628128,True,0.025974025974025976,False,False,0.013
Zephine,Tholomyes,3,0.5193403908250598,False,0.11098088164250841,False,0.2857142857142857,False,False,0.316
Zephine,Listolier,3,0.5193403908250598,False,0.14902591432310908,True,0.025974025974025976,False,False,0.316
Zephine,Fameuil,3,0.5193403908250598,False,0.14776365341472106,False,0.025974025974025976,False,False,0.013
Zephine,Blacheville,3,0.5193403908250598,False,0.1398997428476505,False,0.025974025974025976,False,False,0.013
Zephine,Favourite,4,0.4104422546674157,False,0.18386978277903315,True,0.025974025974025976,False,False,0.013
Zephine,Dahlia,4,0.4104422546674157,False,0.198302603274717,True,0.2077922077922078,False,False,0.316
Fantine,Valjean,3,0.44230096437967326,False,0.00028397458920515167,False,0.0,False,False,0.0
Fantine,Marguerite,3,0.44230096437967326,False,0.6839119889097065,True,1.0,True,False,0.064
Fantine,Tholomyes,3,0.44230096437967326,False,0.015309447209818007,False,0.16883116883116883,False,False,1.212
Fantine,Listolier,3,0.44230096437967326,False,0.020557634202035557,False,0.18181818181818182,False,False,1.212
Fantine,Fameuil,4,0.3333365575113185,False,0.027177786145026066,False,0.19480519480519481,False,False,0.909
Fantine,Blacheville,4,0.3333365575113185,False,0.025731397437678633,False,0.19480519480519481,False,False,0.909
Fantine,Favourite,4,0.3333365575113185,False,0.02536423112951814,False,0.5844155844155844,True,False,0.909
Fantine,Dahlia,2,0.5836067293812066,False,0.013677937529143033,False,0.0,False,False,1.212
Fantine,Zephine,9,0.07387122422570114,True,0.061410381164086196,False,0.6753246753246753,True,False,0.0
MmeThenardier,Valjean,2,0.6210892485566202,False,0.00033919461485173487,False,0.0,False,False,0.92
MmeThenardier,Fantine,7,0.1691766620661458,True,0.011804933122835839,False,0.23376623376623376,False,False,0.0
Thenardier,Valjean,13,0.008757942804541896,True,0.0016330363622856442,False,0.8441558441558442,True,True,0.0
Thenardier,Fantine,1,0.7292044468283958,False,0.0012492651861646324,False,0.0,False,True,5.911
Thenardier,MmeThenardier,12,0.013363461010158062,True,0.026856509360421332,False,0.9350649350649352,True,True,0.0
Cosette,Valjean,4,0.41087146108016404,False,0.0004026340045559772,False,0.5064935064935064,False,False,0.0
Cosette,Tholomyes,31,2.0903607740763164e-05,True,0.16822197457445312,True,0.5064935064935064,True,True,0.0
Cosette,MmeThenardier,1,0.8064913940515533,False,0.0017934883796672987,False,0.0,False,False,0.709
Cosette,Thenardier,1,0.8064913940515533,False,0.0013284661426916475,False,0.0,False,False,1.132
Javert,Valjean,17,0.0012962923816303151,True,0.0013723692643133583,False,0.7142857142857143,True,True,0.0
Javert,Fantine,5,0.18530201888518416,True,0.004013841742592277,False,0.7662337662337663,True,False,0.0
Javert,MmeThenardier,5,0.18530201888518416,True,0.00719140478916095,False,0.05194805194805195,False,False,0.0
Javert,Thenardier,1,0.7237977205924958,False,0.0010654434293352253,False,0.0,False,False,1.133
Javert,Cosette,1,0.7237977205924958,False,0.0008537305750471212,False,0.0,False,False,0.868
Fauchelevent,Valjean,8,0.03703703703703698,True,0.0007607093181782531,False,1.0,True,False,0.0
Fauchelevent,Javert,1,0.7702546296296297,False,0.0008065003380387674,False,0.0,False,False,2.549
Bamatabois,Valjean,1,0.6169606086877,False,0.0007918168078033142,False,0.0,False,False,2.753
Bamatabois,Fantine,1,0.6169606086877,False,0.00787384324201526,False,0.0,False,False,3.352
Bamatabois,Javert,2,0.36725240859625075,False,0.013429838954801302,False,0.935064935064935,True,False,0.578
