source,target,ultrametric_distance,is_ultrametric,weight
Napoleon,Myriel,inf,True,inf
Myriel,MlleBaptistine,4.285714285714286,True,4.285714285714286
Myriel,MmeMagloire,4.285714285714286,False,4.571428571428571
Myriel,CountessDeLo,inf,True,inf
Myriel,Geborand,inf,True,inf
Myriel,Champtercier,inf,True,inf
Myriel,Cravatte,inf,True,inf
Myriel,Count,inf,True,inf
Myriel,OldMan,inf,True,inf
Myriel,Valjean,25.333333333333332,True,25.333333333333332
MlleBaptistine,MmeMagloire,1.272727272727273,True,1.272727272727273
MlleBaptistine,Valjean,25.333333333333332,False,36.5
MmeMagloire,Valjean,25.333333333333332,False,37.0
Valjean,Labarre,inf,True,inf
Valjean,Marguerite,45.0,True,45.0
Valjean,MmeDeR,inf,True,inf
Valjean,Isabeau,inf,True,inf
Valjean,Gervais,inf,True,inf
Valjean,Fantine,6.583333333333333,False,13.833333333333334
Valjean,MmeThenardier,3.625,True,3.625
Valjean,Thenardier,4.066666666666666,False,11.214285714285715
Valjean,Cosette,5.928571428571429,False,16.4
Valjean,Javert,4.066666666666666,False,5.1923076923076925
Valjean,Fauchelevent,5.75,False,72.5
Valjean,Bamatabois,8.857142857142856,True,8.857142857142856
Valjean,Simplice,9.6,False,27.0
Valjean,Scaufflaire,inf,True,inf
Valjean,Woman1,24.5,False,138.0
Valjean,Judge,8.857142857142856,False,14.666666666666668
Valjean,Champmathieu,8.857142857142856,False,16.75
Valjean,Brevet,8.857142857142856,False,19.0
Valjean,Chenildieu,8.857142857142856,False,19.0
Valjean,Cochepaille,8.857142857142856,False,16.5
Valjean,Woman2,11.0,False,69.0
Valjean,MotherInnocent,5.75,False,139.0
Valjean,Gavroche,5.928571428571429,False,11.0
Valjean,Gillenormand,6.428571428571429,False,22.833333333333332
Valjean,MlleGillenormand,6.428571428571429,False,15.555555555555554
Valjean,Marius,5.928571428571429,False,13.812500000000002
Valjean,Enjolras,5.928571428571429,False,10.3125
Valjean,Bossuet,5.928571428571429,False,12.0
Valjean,Gueulemer,4.066666666666666,False,19.57142857142857
Valjean,Babet,4.066666666666666,False,17.75
Valjean,Claquesous,4.066666666666666,False,12.181818181818182
Valjean,Montparnasse,4.066666666666666,False,16.625
Valjean,Toussaint,15.0,False,68.5
Marguerite,Fantine,45.0,False,55.0
Listolier,Tholomyes,2.55,True,2.55
Listolier,Fameuil,0.44999999999999996,True,0.44999999999999996
Listolier,Blacheville,0.44999999999999996,False,0.5
Listolier,Favourite,0.55,False,0.631578947368421
Listolier,Dahlia,0.7222222222222221,False,0.7647058823529411
Listolier,Zephine,0.75,False,0.9444444444444446
