source,target,metric_distance,weight,is_metric
Napoleon,Myriel,inf,inf,True
Myriel,MlleBaptistine,4.285714285714286,4.285714285714286,True
Myriel,MmeMagloire,4.571428571428571,4.571428571428571,True
Myriel,CountessDeLo,inf,inf,True
Myriel,Geborand,inf,inf,True
Myriel,Champtercier,inf,inf,True
Myriel,Cravatte,inf,inf,True
Myriel,Count,inf,inf,True
Myriel,OldMan,inf,inf,True
Myriel,Valjean,25.333333333333332,25.333333333333332,True
MlleBaptistine,MmeMagloire,1.272727272727273,1.272727272727273,True
MlleBaptistine,Valjean,29.619047619047617,36.5,False
MmeMagloire,Valjean,29.904761904761905,37.0,False
Valjean,Labarre,inf,inf,True
Valjean,Marguerite,45.0,45.0,True
Valjean,MmeDeR,inf,inf,True
Valjean,Isabeau,inf,inf,True
Valjean,Gervais,inf,inf,True
Valjean,Fantine,11.775641025641026,13.833333333333334,False
Valjean,MmeThenardier,3.625,3.625,True
Valjean,Thenardier,6.961538461538462,11.214285714285715,False
Valjean,Cosette,15.317307692307693,16.4,False
Valjean,Javert,5.1923076923076925,5.1923076923076925,True
Valjean,Fauchelevent,10.942307692307693,72.5,False
Valjean,Bamatabois,8.857142857142856,8.857142857142856,True
Valjean,Simplice,14.792307692307691,27.0,False
Valjean,Scaufflaire,inf,inf,True
Valjean,Woman1,29.692307692307693,138.0,False
Valjean,Judge,9.968253968253967,14.666666666666668,False
Valjean,Champmathieu,10.357142857142856,16.75,False
Valjean,Brevet,10.428571428571427,19.0,False
Valjean,Chenildieu,10.428571428571427,19.0,False
Valjean,Cochepaille,10.107142857142856,16.5,False
Valjean,Woman2,16.942307692307693,69.0,False
Valjean,MotherInnocent,14.275641025641026,139.0,False
Valjean,Gavroche,11.0,11.0,True
Valjean,Gillenormand,17.680555555555554,22.833333333333332,False
Valjean,MlleGillenormand,15.555555555555554,15.555555555555554,True
Valjean,Marius,13.812500000000002,13.812500000000002,True
Valjean,Enjolras,10.3125,10.3125,True
Valjean,Bossuet,12.0,12.0,True
Valjean,Gueulemer,8.322115384615385,19.57142857142857,False
Valjean,Babet,7.6298076923076925,17.75,False
